data;prodotto;prezzo;tax;netto;inc_tax;nation
01/03/2022;Benzina;2,007;1,001;1,005;0,49;ita
01/03/2022;Diesel;1,97;0,884;1,086;0,44;ita
01/04/2022;Benzina;1,769;0,797;0,971;0,45;ita
01/04/2022;Diesel;1,768;0,686;1,082;0,38;ita
01/05/2022;Benzina;1,851;0,812;1,039;0,43;ita
01/05/2022;Diesel;1,823;0,696;1,127;0,38;ita
01/06/2022;Benzina;2,034;0,845;1,188;0,41;ita
01/06/2022;Diesel;1,972;0,723;1,249;0,36;ita
01/07/2022;Benzina;1,968;0,833;1,134;0,42;ita
01/07/2022;Diesel;1,927;0,714;1,212;0,37;ita
01/08/2022;Benzina;1,774;0,798;0,976;0,44;ita
01/08/2022;Diesel;1,785;0,689;1,096;0,38;ita
01/09/2022;Benzina;1,687;0,782;0,905;0,46;ita
01/09/2022;Diesel;1,793;0,69;1,102;0,38;ita
01/10/2022;Benzina;1,678;0,781;0,897;0,46;ita
01/10/2022;Diesel;1,846;0,7;1,146;0,37;ita
01/11/2022;Benzina;1,688;0,782;0,905;0,46;ita
01/11/2022;Diesel;1,81;0,693;1,116;0,38;ita
01/12/2022;Benzina;1,662;0,878;0,784;0,52;ita
01/12/2022;Diesel;1,727;0,778;0,948;0,45;ita
01/01/2023;Benzina;1,833;1,059;0,774;0,57;ita
01/01/2023;Diesel;1,88;0,956;0,924;0,5;ita
01/02/2023;Benzina;1,86;1,063;0,796;0,57;ita
01/02/2023;Diesel;1,845;0,95;0,895;0,51;ita
01/03/2023;Benzina;1,855;1,062;0,792;0,57;ita
01/03/2023;Diesel;1,799;0,941;0,857;0,52;ita
01/04/2023;Benzina;1,873;1,066;0,806;0,56;ita
01/04/2023;Diesel;1,748;0,932;0,816;0,53;ita
01/05/2023;Benzina;1,818;1,056;0,762;0,58;ita
01/05/2023;Diesel;1,661;0,917;0,744;0,55;ita
